timestamp,ch1,ch2,ch3
1746888168.8304276,40,-26,-59
1746888168.8347566,65,-83,-38
1746888168.8352644,71,-27,-45
1746888168.8397799,36,-86,-42
1746888168.8403158,81,-47,-61
1746888168.8448353,14,-82,-41
1746888168.8463738,96,-56,-47
1746888168.8498816,-19,-80,-29
1746888168.8514154,96,-63,-46
1746888168.8549347,-35,-69,-31
1746888168.8569455,91,-54,-47
1746888168.8599732,-54,-77,-21
1746888168.8619828,89,-77,-52
1746888168.8650084,-81,-82,-29
1746888168.8670237,84,-81,-51
1746888168.8702488,-94,-75,-31
1746888168.8722663,50,-77,-47
1746888168.875274,-100,-61,-16
1746888168.8772948,38,-88,-43
1746888168.8803184,-107,-63,-8
1746888168.8820722,10,-85,-35
1746888168.8852513,-99,-57,-13
1746888168.8867702,-18,-84,-33
1746888168.8902943,-76,-37,-18
1746888168.8918252,-46,-71,-29
1746888168.895344,-62,-25,-16
1746888168.8968673,-67,-86,-22
1746888168.9003947,-48,-15,-7
1746888168.9014068,-76,-79,-22
1746888168.905349,-31,-4,-7
1746888168.9063585,-97,-72,-16
1746888168.9105306,-1,-9,-9
1746888168.9110405,-101,-59,-28
1746888168.9155679,25,11,12
1746888168.916097,-109,-56,-17
1746888168.9206727,41,18,1
5
1746888168.9262087,-84,-44,-5
1746888168.9262087,77,26,-1
1746888168.9309428,79,46,5
7
1746888168.9358323,95,50,18
3
1746888168.9408216,107,47,21
1746888168.9455266,4,-1,-2
1746888168.9460795,104,55,20
1746888168.9506826,22,6,2
1746888168.9512084,88,76,26
1746888168.9554844,46,13,-1
1746888168.9560287,75,78,16
1746888168.9607222,68,36,15
1746888168.9607222,66,68,25
1746888168.965459,81,40,7
1746888168.9659712,34,82,28
1746888168.9701033,88,45,9
1746888168.9712045,18,73,31
1746888168.9749792,107,45,14
1746888168.976039,-9,73,44
1746888168.9796488,88,68,11
1746888168.9806666,-42,75,40
1746888168.9848063,87,62,20
1746888168.9858217,-54,84,45
1746888168.9895113,77,63,35
1746888168.99117,-81,68,48
1746888168.9943078,59,70,20
1746888168.9959116,-93,70,38
1746888168.9989226,39,81,24
1746888169.0005655,-98,59,48
1746888169.003578,21,76,30
1746888169.0055964,-109,62,42
1746888169.0081189,-18,79,36
1746888169.0102565,-90,37,43
1746888169.0133526,-43,82,44
1746888169.0154285,-78,38,49
1746888169.0185118,-58,66,35
1746888169.0206509,-68,36,52
1746888169.0233371,-69,73,49
1746888169.025523,-40,14,57
1746888169.028464,-81,76,54
1746888169.0308018,-17,1,59
1746888169.0333629,-92,54,45
1746888169.035902,6,-4,49
1746888169.0384784,-103,52,47
1746888169.0408177,16,-3,66
1746888169.0435371,-90,52,44
1746888169.0456429,48,-13,49
1746888169.0482464,-75,45,42
1746888169.0504756,69,-34,52
1746888169.0531144,-74,22,43
1746888169.0552354,93,-33,49
1746888169.057825,-54,18,50
1746888169.059986,99,-57,61
1746888169.062649,-19,19,65
1746888169.0647051,89,-46,64
1746888169.0674078,-7,-4,52
1746888169.06949,97,-56,65
1746888169.0722044,21,-5,47
1746888169.074222,82,-59,56
1746888169.0770447,38,-20,58
1746888169.0788991,76,-78,60
1746888169.082183,68,-25,53
1746888169.0837095,61,-78,54
1746888169.087323,78,-35,66
1746888169.0883715,32,-77,61
1746888169.0922256,96,-52,55
1746888169.0932736,20,-70,52
1746888169.0968642,89,-49,59
1746888169.0978808,-9,-73,65
1746888169.1014068,94,-69,66
1746888169.102951,-37,-80,47
1746888169.1064768,90,-71,54
1746888169.1080236,-58,-76,57
1746888169.1111608,81,-77,49
1746888169.1134012,-76,-73,50
1746888169.1162581,64,-71,67
1746888169.1183174,-94,-68,51
1746888169.120846,41,-81,49
1746888169.123207,-100,-63,40
1746888169.12573,14,-87,54
1746888169.128522,-93,-52,43
1746888169.1305358,-21,-83,65
1746888169.1336582,-105,-42,55
1746888169.136965,-33,-71,54
1746888169.1387749,-87,-41,37
1746888169.142415,-66,-82,47
1746888169.1440077,-64,-23,51
1746888169.1470687,-69,-71,45
1746888169.149133,-42,-18,48
